HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,HD average intensity
637.152,19.23,637.152,19.23,637.152,6.85,15.10333333
637.169,19.23,637.169,19.23,637.169,7.85,15.43666667
637.187,-1.77,637.187,-1.77,637.187,7.85,1.436666667
637.204,-3.77,637.204,-3.77,637.204,4.85,-0.8966666667
637.221,-25.77,637.221,-25.77,637.221,1.85,-16.56333333
637.238,-13.77,637.238,-13.77,637.238,-3.15,-10.23
637.256,9.23,637.256,9.23,637.256,18.85,12.43666667
637.273,1.23,637.273,1.23,637.273,7.85,3.436666667
637.29,7.23,637.29,7.23,637.29,8.85,7.77
637.308,4.23,637.308,4.23,637.308,-12.15,-1.23
637.325,-3.77,637.325,-3.77,637.325,-8.15,-5.23
637.342,7.23,637.342,7.23,637.342,-0.15,4.77
637.359,14.23,637.359,14.23,637.359,13.85,14.10333333
637.377,23.23,637.377,23.23,637.377,32.85,26.43666667
637.394,49.23,637.394,49.23,637.394,52.85,50.43666667
637.411,2.23,637.411,2.23,637.411,8.85,4.436666667
637.428,18.23,637.428,18.23,637.428,-8.15,9.436666667
637.446,1.23,637.446,1.23,637.446,-2.15,0.1033333333
637.463,8.23,637.463,8.23,637.463,3.85,6.77
637.48,25.23,637.48,25.23,637.48,9.85,20.10333333
